pose_x,pose_y,pose_z,orientation_x,orientation_y,orientation_z,orientation_w,steering_tire_angle,steering_tire_rotation_rate,acceleration,speed,jerk
2.113313,-0.74673,0.0,0.0,0.0,0.019378,0.999812,0.070978,0.0,0.595963,5.741502,0.0
2.113313,-0.74673,0.0,0.0,0.0,0.019378,0.999812,0.064932,0.0,0.594438,5.753386,0.0
2.175835,-0.747716,0.0,0.0,0.0,0.025471,0.999676,0.064932,0.0,0.594438,5.753386,0.0
2.196127,-0.747352,0.0,0.0,0.0,0.027959,0.999609,0.064932,0.0,0.594438,5.753386,0.0
2.28047,-0.747284,0.0,0.0,0.0,0.034083,0.999419,0.044952,0.0,0.596228,5.780822,0.0
2.307352,-0.746274,0.0,0.0,0.0,0.036944,0.999317,0.044952,0.0,0.596228,5.780822,0.0
2.307352,-0.746274,0.0,0.0,0.0,0.036944,0.999317,0.029081,0.0,0.596462,5.807353,0.0
2.362361,-0.745194,0.0,0.0,0.0,0.039845,0.999206,0.029081,0.0,0.596462,5.807353,0.0
2.362361,-0.745194,0.0,0.0,0.0,0.039845,0.999206,0.023097,0.0,0.596557,5.820545,0.0
2.41473,-0.743683,0.0,0.0,0.0,0.040954,0.999161,0.023097,0.0,0.595938,5.820544,0.0
2.445048,-0.741645,0.0,0.0,0.0,0.043227,0.999065,0.023097,0.0,0.595938,5.820544,0.0
2.472861,-0.739775,0.0,0.0,0.0,0.045312,0.998973,0.023097,0.0,0.595938,5.820544,0.0
2.478089,-0.741526,0.0,0.0,0.0,0.045677,0.998956,0.023097,0.0,0.595938,5.820544,0.0
2.521763,-0.737968,0.0,0.0,0.0,0.046098,0.998937,0.008723,0.0,0.597423,5.846168,0.0
2.536825,-0.736813,0.0,0.0,0.0,0.047001,0.998895,0.008723,0.0,0.597423,5.846168,0.0
2.577324,-0.733707,0.0,0.0,0.0,0.049429,0.998778,0.008723,0.0,0.597423,5.846168,0.0
2.593187,-0.732984,0.0,0.0,0.0,0.047038,0.998893,0.002829,0.0,0.597551,5.861022,0.0
2.603502,-0.732084,0.0,0.0,0.0,0.047508,0.998871,0.002829,0.0,0.597551,5.861022,0.0
2.624857,-0.730222,0.0,0.0,0.0,0.048481,0.998824,-0.00408,0.0,0.594801,5.870374,0.0
2.647149,-0.728277,0.0,0.0,0.0,0.049496,0.998774,-0.00408,0.0,0.594801,5.870374,0.0
2.693599,-0.725513,0.0,0.0,0.0,0.04942,0.998778,-0.009752,0.0,0.5967,5.886318,0.0
2.710287,-0.723993,0.0,0.0,0.0,0.049988,0.99875,-0.009752,0.0,0.5967,5.886318,0.0
2.803987,-0.714198,0.0,0.0,0.0,0.049646,0.998767,-0.014957,0.0,0.595958,5.900788,0.0
2.835959,-0.711073,0.0,0.0,0.0,0.050328,0.998733,-0.014957,0.0,0.595958,5.900788,0.0
2.835959,-0.711073,0.0,0.0,0.0,0.050328,0.998733,-0.024107,0.0,0.593805,5.92197,0.0
2.895704,-0.707876,0.0,0.0,0.0,0.048174,0.998839,-0.024107,0.0,0.593805,5.92197,0.0
2.895704,-0.707876,0.0,0.0,0.0,0.048174,0.998839,-0.024107,0.0,0.593805,5.92197,0.0
2.895704,-0.707876,0.0,0.0,0.0,0.048174,0.998839,-0.028359,0.0,0.597415,5.942329,0.0
2.951923,-0.70174,0.0,0.0,0.0,0.046889,0.9989,-0.028359,0.0,0.597415,5.942329,0.0
2.951923,-0.70174,0.0,0.0,0.0,0.046889,0.9989,-0.028359,0.0,0.595912,5.942373,0.0
2.988842,-0.698113,0.0,0.0,0.0,0.046831,0.998903,-0.028359,0.0,0.595912,5.942373,0.0
3.01695,-0.695352,0.0,0.0,0.0,0.046786,0.998905,-0.028359,0.0,0.595912,5.942373,0.0
3.021816,-0.694874,0.0,0.0,0.0,0.046778,0.998905,-0.028359,0.0,0.595912,5.942373,0.0
3.065092,-0.690971,0.0,0.0,0.0,0.044831,0.998995,-0.038522,0.0,0.597273,5.969043,0.0
3.080509,-0.689473,0.0,0.0,0.0,0.044658,0.999002,-0.038522,0.0,0.597273,5.969043,0.0
